,mean_neff,mean_mean,mean_std,ap,nevals
10,0.0015231372153102646,0.01940000000000001,0.01349999999999999,0.18870964431979315,1059838.0
20,6.730115733836624e-06,0.41570000000000007,0.19444999999999998,0.9779049051763786,204521.0
30,7.3609613360853986e-06,0.4503333333333333,0.3089333333333333,0.9759132586531392,204937.0
40,6.054122179838601e-06,0.582825,0.374675,0.9584398634768048,208676.0
50,6.873826157909222e-06,0.5834600000000001,0.32476,0.965714671681232,207119.0
60,7.606711327571051e-06,0.5027333333333333,0.2826166666666666,0.9625519158604974,207788.0
70,5.891828834455416e-06,0.4866285714285714,0.32497142857142847,0.9630443083845821,207692.0
80,7.10962150757319e-06,0.5277999999999999,0.2984125,0.954704105831078,209489.0
90,5.909949584091097e-06,0.5772444444444444,0.2719111111111111,0.9463831719317677,211331.0
100,5.763805089036849e-06,0.6450100000000001,0.30718,0.9464504144807149,211317.0
