,mean_neff,mean_mean,mean_std
10,0.0038968684210526315,0.056900000000000006,0.0343
20,2.275994953947369,0.11475000000000002,0.0714
30,0.44378272368421057,0.08683333333333333,0.062033333333333315
40,0.9047705666118422,0.08022500000000002,0.08182500000000001
50,0.8431002263157896,0.06666000000000001,0.07923999999999998
60,0.988733019371345,0.058399999999999994,0.09211666666666665
70,0.8656059742212673,0.051100000000000007,0.1027
80,0.8847485162417762,0.05490000000000002,0.1123875
90,0.873048043534763,0.03955555555555556,0.1194
100,0.8518488349999999,0.04756000000000001,0.1316
